Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HerBS-14,3.782,38:40.4,-28:18:57.5,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HerS-4,3.791,16:40.1,-00:04:54,\cite{Cox_2023},"g, r, i, z, y","F160W, F300X, F814W,  F475W, F110W",No
HerBS-28,3.925,08:15.7,-34:38:00.5,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HerBS-179,3.9423,55:21.0,-02:13:29.4,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-83,3.9438,18:13.1,18:43.2,\cite{Cox_2023},"g, r, i, z, y","F390W, F606W, F814W,  F438W, F110W",No
HerBS-160,3.955,10:14.5,-31:48:15.9,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HerBS-177,3.9625,54:33.7,50:41.8,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HeLMS-36,3.9802,43:14.1,21:55.4,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-90A,3.992,56:59.3,-29:50:39.3,\cite{Urquhart_2022},No,No,No
HerBS-64,4.04,01:18.0,+25:37:08,\cite{Cox_2023},No,No,No
HerBS-43b,4.0543,24:19.2,07:49.2,\cite{Neri_2020},No,F110W,No
HerBS-41A,4.098,01:24.8,-35:42:11.0,\cite{Urquhart_2022},No,No,No
HerBS-201,4.1408,11:18.1,-01:06:52.6,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-4,4.1625,44:10.2,+01:18:21,\cite{Cox_2023},"g, r, z","F160W,  F435W, F105W",No
HerBS-13,4.24,24:13.9,+02:23:03,\cite{Cox_2023},"i, z",F110W,No
